Start Time
                
                
            1,End Time,Product,Count,Hours,Cost,Currency,Username,Hostname,Project,Session ID
"2024-12-05 14:50:01","2024-12-05 15:03:16","Ansys Mechanical Enterprise PrepPost","1","0.22","2.9","AEC","nramioulle","NRAMIOULLE-LT.corp.arete.com","","10b52fb9-c026-41ef-97f0-675220dc55cb"
"2024-12-05 16:48:31","2024-12-05 16:49:56","Ansys CFD PrepPost","1","0.02","0.3","AEC","prusello","prusello-lt4.corp.arete.com","","f861182e-e3ff-4d4b-a6b9-5029f803a16c"
"2024-12-05 17:00:23","2024-12-05 17:07:24","Ansys CFD Enterprise Solver","1","0.12","3","AEC","prusello","prusello-lt4.corp.arete.com","","53db0ce8-1c51-42d2-bedb-2288b9ccb34e"
"2024-12-05 17:08:19","2024-12-05 17:13:09","Ansys CFD Enterprise Solver","1","0.08","2.1","AEC","prusello","prusello-lt4.corp.arete.com","","53db0ce8-1c51-42d2-bedb-2288b9ccb34e"
"2024-12-05 20:36:17","2024-12-05 20:47:14","Ansys Discovery Simulation","1","0.18","2.9","AEC","eduffield","DC-LOANER34.corp.arete.com","","105530a1-c915-4d77-ae62-233078701d01"
"2024-12-05 20:53:45","2024-12-05 20:56:23","Ansys CFD PrepPost","1","0.04","0.6","AEC","eduffield","DC-LOANER34.corp.arete.com","","105530a1-c915-4d77-ae62-233078701d01"
"2024-12-05 20:55:05","2024-12-05 20:55:41","Ansys Discovery Simulation","1","0.01","0.2","AEC","eduffield","DC-LOANER34.corp.arete.com","","105530a1-c915-4d77-ae62-233078701d01"
"2024-12-05 20:56:30","2024-12-05 20:57:43","Ansys Discovery Simulation","1","0.02","0.3","AEC","eduffield","DC-LOANER34.corp.arete.com","","105530a1-c915-4d77-ae62-233078701d01"
"2024-12-05 20:57:54","2024-12-05 21:22:50","Ansys Discovery Simulation","1","0.42","6.6","AEC","eduffield","DC-LOANER34.corp.arete.com","","105530a1-c915-4d77-ae62-233078701d01"
"2024-12-05 21:23:18","2024-12-05 21:26:13","Ansys CFD PrepPost","1","0.05","0.6","AEC","eduffield","DC-LOANER34.corp.arete.com","","105530a1-c915-4d77-ae62-233078701d01"
"2024-12-05 21:23:35","2024-12-05 21:24:12","Ansys Discovery Simulation","1","0.01","0.2","AEC","eduffield","DC-LOANER34.corp.arete.com","","105530a1-c915-4d77-ae62-233078701d01"
"2024-12-05 22:30:54","2024-12-05 22:49:34","Ansys Discovery Simulation","1","0.31","5","AEC","eduffield","DC-LOANER34.corp.arete.com","","ffdf867b-78b0-464e-8f0c-e0835a837d0a"
"2024-12-06 15:40:06","2024-12-06 15:55:04","Ansys Mechanical Enterprise PrepPost","1","0.25","3.2","AEC","nramioulle","NRAMIOULLE-LT.corp.arete.com","","68e05759-e0bc-42c5-bdaa-0bcbe58cf906"
"2024-12-12 15:30:30","2024-12-12 15:35:47","Ansys Discovery Simulation","1","0.09","1.4","AEC","eduffield","DC-LOANER34.corp.arete.com","","0865a233-bb4a-4d49-91b6-4834a1dd0cba"
"2024-12-12 15:36:13","2024-12-12 15:37:50","Ansys CFD PrepPost","1","0.03","0.4","AEC","eduffield","DC-LOANER34.corp.arete.com","","0865a233-bb4a-4d49-91b6-4834a1dd0cba"
"2024-12-12 15:36:34","2024-12-12 15:37:01","Ansys Discovery Simulation","1","0.01","0.1","AEC","eduffield","DC-LOANER34.corp.arete.com","","0865a233-bb4a-4d49-91b6-4834a1dd0cba"
"2024-12-12 15:37:58","2024-12-12 15:40:25","Ansys Discovery Simulation","1","0.04","0.7","AEC","eduffield","DC-LOANER34.corp.arete.com","","0865a233-bb4a-4d49-91b6-4834a1dd0cba"
"2024-12-12 15:40:38","2024-12-12 15:45:16","Ansys CFD PrepPost","1","0.08","1","AEC","eduffield","DC-LOANER34.corp.arete.com","","0865a233-bb4a-4d49-91b6-4834a1dd0cba"
"2024-12-12 15:41:00","2024-12-12 15:41:28","Ansys Discovery Simulation","1","0.01","0.1","AEC","eduffield","DC-LOANER34.corp.arete.com","","0865a233-bb4a-4d49-91b6-4834a1dd0cba"
"2024-12-12 15:45:05","2024-12-12 15:45:11","Ansys CFD Enterprise Solver","1","0.01","0.1","AEC","eduffield","DC-LOANER34.corp.arete.com","","0865a233-bb4a-4d49-91b6-4834a1dd0cba"
