Start Time,End Time,Product,Count,Hours,Cost,Currency,Username
"2025-12-02 00:37:40","2025-12-02 01:01:26","Ansys CFD Enterprise Solver","1","0.4","11.1","AEC","sgutteridge"
"2025-12-02 20:38:29","2025-12-02 20:45:11","Ansys Discovery Enterprise","1","0.11","2","AEC","tutley"
"2025-12-02 20:50:18","2025-12-02 21:27:25","Ansys Discovery Enterprise","1","0.62","11.1","AEC","tutley"
"2025-12-02 21:27:32","2025-12-02 21:34:33","Ansys Mechanical Enterprise PrepPost","1","0.12","1.6","AEC","tutley"
"2025-12-02 21:27:45","2025-12-02 21:31:20","Ansys Discovery Enterprise","1","0.06","1.1","AEC","tutley"
"2025-12-02 21:33:52","2025-12-02 21:39:05","Ansys Discovery Enterprise","1","0.09","1.6","AEC","tutley"
"2025-12-02 21:39:15","2025-12-02 21:43:20","Ansys Mechanical Enterprise PrepPost","1","0.07","1","AEC","tutley"
"2025-12-02 21:39:30","2025-12-02 21:40:36","Ansys Discovery Enterprise","1","0.02","0.3","AEC","tutley"
"2025-12-02 21:46:14","2025-12-02 21:47:50","Ansys Mechanical Enterprise PrepPost","1","0.03","0.4","AEC","tutley"
"2025-12-02 21:46:28","2025-12-02 21:47:13","Ansys Discovery Enterprise","1","0.01","0.2","AEC","tutley"
"2025-12-02 21:48:06","2025-12-02 22:06:20","Ansys Mechanical Enterprise PrepPost","1","0.3","4.3","AEC","tutley"
"2025-12-02 21:49:17","2025-12-02 22:06:22","Ansys GRANTA Materials Data for Simulation","1","0.28","9.4","AEC","tutley"
"2025-12-02 21:58:34","2025-12-02 21:58:38","Ansys Mechanical Enterprise Solver","1","0.01","0.1","AEC","tutley"
"2025-12-02 21:59:46","2025-12-02 21:59:49","Ansys Mechanical Enterprise Solver","1","0.01","0.1","AEC","tutley"
"2025-12-02 22:00:32","2025-12-02 22:00:36","Ansys Mechanical Enterprise Solver","1","0.01","0.1","AEC","tutley"
"2025-12-02 22:02:40","2025-12-02 22:02:43","Ansys Mechanical Enterprise Solver","1","0.01","0.1","AEC","tutley"
"2025-12-02 22:03:55","2025-12-02 22:03:59","Ansys Mechanical Enterprise Solver","1","0.01","0.1","AEC","tutley"
"2025-12-02 22:06:24","2025-12-02 22:09:22","Ansys Discovery Enterprise","1","0.05","0.9","AEC","tutley"
"2025-12-02 22:09:39","2025-12-02 23:29:58","Ansys Mechanical Enterprise PrepPost","1","1.34","18.7","AEC","tutley"
"2025-12-02 22:09:55","2025-12-02 22:11:05","Ansys Discovery Enterprise","1","0.02","0.4","AEC","tutley"
